id,meigara,code,uriagetuuki1,uriagetuuki2,riekituuki1,riekituuki2,epstuuki1,epstuuki2,uriageshihanki1,uriageshihanki2,uriageshihanki3,riekishihanki1,riekishihanki2,riekishihanki3,epsshihanki1,epsshihanki2,epsshihanki3
3411,日本証券金融,8511,119.65,92.36,103.72,102.58,96.13,90.46,99.62,108.45,104.27,115.88,139.13,104.29,114.08,109.21,104.98
3412,アイフル,8515,110.15,99.95,55.39,121.63,14.91,236.19,101.52,101.6,105.58,90.4,185.69,212.45,97.62,151.08,205.88
3413,日本アジア投資,8518,112.76,42.19,243.54,23.77,59.51,45.0,382.14,73.56,127.74,-25.14,-3.77,324.56,8.41,30.58,171.2
3436,リコーリース,8566,105.83,103.16,98.51,104.37,100.05,105.64,91.06,98.28,111.24,114.54,127.88,69.71,116.94,127.48,68.42
3438,アコム,8572,100.88,105.17,131.3,71.17,157.71,53.54,94.81,97.0,96.76,111.49,111.02,103.35,115.75,118.69,81.08
3439,ジャックス,8584,108.76,108.79,114.86,113.34,119.81,114.43,99.85,101.95,104.0,150.41,33.69,86.25,151.37,61.69,104.18
3440,オリエントコーポレーション,8585,104.18,104.0,111.27,73.0,71.43,114.38,97.28,88.56,100.69,120.79,55.54,80.98,131.32,64.71,88.28
3442,日立キャピタル,8589,103.06,102.98,165.82,46.2,115.34,34.83,0.0,100.25,100.22,0.0,138.4,119.92,0.0,119.61,276.6
3443,オリックス,8591,93.65,85.05,81.86,97.99,93.86,103.49,99.76,93.2,98.03,98.46,86.37,60.17,58.59,50.01,74.13
3444,三菱ＵＦＪリース,8593,106.89,99.34,114.29,101.37,102.8,107.98,104.47,91.89,90.85,74.16,37.33,83.4,86.0,50.0,79.85
3446,ジャフコ,8595,115.37,87.81,122.31,85.88,116.5,47.82,9.67,136.95,197.02,2.87,129.77,231.69,11.24,132.57,40.81
3447,九州リースサービス,8596,102.99,105.11,100.18,110.21,104.04,75.73,73.39,99.82,143.39,96.9,88.73,140.5,97.02,93.47,149.24
3449,大和証券グループ本社,8601,93.3,101.12,80.63,49.85,97.9,59.73,88.85,80.52,70.92,168.27,304.02,133.82,159.01,90.34,112.57
3451,岡三証券グループ,8609,95.82,82.85,112.61,15.7,426.05,14.55,97.56,107.65,97.07,72.78,-633.96,31600.0,19.66,-1190.91,-385.51
3452,丸三証券,8613,105.4,82.42,1492.65,2.24,150.7,22.21,111.41,116.39,108.36,192.42,5145.45,450.83,273.84,1139.29,341.09
3453,東洋証券,8614,92.24,66.68,91.9,-84.45,25.77,-134.53,123.89,146.98,92.29,-84.38,-48.31,102.7,1586.67,-78.04,-1100.0
3454,東海東京フィナンシャル・ＨＤ,8616,95.25,75.97,210.49,-2.24,264.11,4.3,100.23,111.72,113.97,112.97,-1436.57,-35.17,129.17,477.56,342.0
3455,光世証券,8617,99.84,51.33,85.98,-135.9,112.86,-57.78,26.79,212.42,-7514.29,-183.13,-101.25,-117.24,-46.15,-103.51,-119.47
3456,水戸証券,8622,103.58,71.4,-1.15,-20.58,445.86,7.2,114.89,152.24,129.24,200.54,-319.85,-155.98,132.16,-463.03,-388.54
3457,いちよし証券,8624,88.78,80.1,-26.51,28.79,-45.15,33.55,115.23,95.17,90.56,-262.25,-0.69,159.41,-246.2,-23.62,239.27
3458,松井証券,8628,88.42,84.8,66.23,72.58,64.15,74.07,121.2,122.95,128.94,142.88,139.58,155.46,141.77,235.84,153.27
3463,澤田ホールディングス,8699,107.66,108.84,112.59,134.62,120.89,141.23,97.56,89.43,96.74,94.54,112.54,24.67,82.9,44.65,23.31
3464,丸八証券,8700,83.54,102.95,16.07,116.4,40.21,108.14,125.41,126.36,107.93,278.31,821.05,173.68,114.83,377.93,164.26
3466,トレイダーズホールディングス,8704,143.47,269.33,239.59,-72.97,6367.5,-2.58,102.59,69.5,162.85,118.47,34.95,278.86,146.82,56.2,400.0
3468,極東証券,8706,57.89,78.24,-82.31,46.72,-33.33,54.83,109.82,377.27,112.83,114.51,-207.47,152.58,141.34,-351.13,141.91
3469,岩井コスモホールディングス,8707,89.2,100.72,69.11,106.17,65.09,87.78,121.95,116.74,125.0,179.81,157.13,199.68,168.61,157.06,184.04
3470,藍澤證券,8708,111.71,70.38,-12.68,-107.12,0.0,10.94,120.29,128.54,101.62,1255.56,1303.57,1212.5,1422.41,114.07,247.15
3477,マネーパートナーズグループ,8732,94.25,103.33,53.12,111.95,32.26,107.33,98.94,64.57,78.93,68.92,-266.15,-313.33,153.59,-576.8,-585.83
3478,あかつきフィナンシャルグループ,8737,96.32,157.78,88.26,111.76,116.47,42.83,127.44,134.1,89.19,254.55,166.31,82.96,311.39,190.01,960.0
3479,スパークス・グループ,8739,111.01,84.97,114.82,59.38,71.22,69.39,119.4,117.97,85.03,145.77,161.49,81.3,151.12,182.92,69.29
3481,小林洋行,8742,108.14,104.18,70.95,95.06,83.97,94.19,100.32,83.77,103.58,40.0,104.35,52.82,-245.0,133.74,55.94
3482,第一商品,8746,130.75,86.84,1675.76,18.8,1000.42,21.0,11.98,15.3,47.08,-407.55,-84.58,-372.92,-454.7,133.24,-1342.54
3483,豊商事,8747,119.12,118.74,199.73,255.97,148.7,216.81,126.42,103.89,64.99,-47.29,121.31,-59.85,-155.14,160.21,-150.23
3486,アドバンテッジリスクマネジメント,8769,107.47,109.26,102.59,113.31,104.4,109.48,108.82,98.95,100.49,105.56,37.33,53.65,105.73,45.88,53.34
3487,イー・ギャランティ,8771,106.87,109.17,108.2,110.37,138.43,112.13,122.58,119.77,117.63,112.0,114.2,118.67,81.18,86.55,75.64
3488,アサックス,8772,97.0,98.94,94.89,100.02,94.87,100.49,101.93,98.16,110.23,105.71,97.02,116.28,107.92,97.72,115.82
3489,ＧＦＡ,8783,220.87,67.98,173.26,-147.01,159.78,-295.99,89.25,20.87,150.89,994.23,3814.29,478.69,701.51,1961.38,261.49
3492,ＮＥＣキャピタルソリューション,8793,108.12,88.2,92.87,70.45,80.07,106.41,99.42,99.17,89.56,117.15,29.63,17.28,93.18,23.91,23.23
3495,三井不動産,8801,102.39,106.29,107.05,106.61,109.95,108.59,164.9,84.57,95.28,193.79,40.35,72.44,252.86,-14.34,42.01
3496,三菱地所,8802,103.08,105.8,105.06,107.57,112.03,111.74,85.81,100.18,96.84,72.34,96.52,115.75,100.11,102.6,114.63
3497,平和不動産,8803,118.13,120.74,116.8,98.97,116.44,119.73,98.69,78.09,54.8,100.09,146.13,74.06,97.68,165.92,75.59
3499,ダイビル,8806,105.36,100.59,111.93,93.43,113.44,96.32,102.86,101.78,100.54,109.29,99.07,114.92,97.51,134.72,116.68
3500,京阪神ビルディング,8818,102.16,101.32,99.32,102.89,100.0,112.09,101.51,100.26,98.67,84.05,109.41,102.1,163.15,68.36,166.12
3501,住友不動産,8830,100.13,106.73,106.81,106.69,108.37,108.67,101.12,81.26,94.5,99.95,89.15,101.68,159.02,84.61,117.3
3502,太平洋興発,8835,90.2,99.64,74.41,93.63,159.43,57.3,97.57,63.82,89.22,416.07,115.04,-264.0,744.21,192.32,-951.49
3503,ＲＩＳＥ,8836,208.51,27.38,48.54,74.64,14.72,-736.11,160.38,216.67,257.14,-20.0,-10.71,50.0,-233.33,29.46,51.35
3505,テーオーシー,8841,99.98,98.42,98.48,118.63,104.69,20.29,94.16,88.46,74.53,116.89,92.12,63.75,116.82,98.17,66.45
3506,テーオーシー,8842,114.77,90.84,173.71,52.69,405.47,22.25,0.0,60.41,74.71,0.0,-40.75,11.01,0.0,-47.43,-28.96
3507,コスモスイニシア,8844,105.69,103.75,111.71,110.49,74.98,123.46,88.71,106.18,70.75,614.94,-58.79,-18.19,346.35,1177.27,-25.67
3508,レオパレス２１,8848,85.81,95.17,-493.55,32.23,118.02,-480.14,92.98,96.74,91.76,69.89,44.91,161.2,-1873.39,18.41,245.81
3509,スターツコーポレーション,8850,107.13,115.58,104.78,108.94,98.66,111.2,101.44,95.04,111.48,108.29,89.45,102.87,101.43,81.62,127.28
3512,フジ住宅,8860,95.45,111.39,75.38,103.08,72.59,103.72,120.9,121.3,98.39,142.84,179.31,39.47,139.21,203.91,17.27
